Game ID,Result
4906120,1.01x
4906121,1.85x
4906122,3.33x
4906123,18.09x
4906124,9.82x
4906125,5.88x
4906126,1.1x
4906127,1.03x
4906128,2.73x
4906129,3.32x
4906130,1.2x
4906131,3.07x
4906132,1.22x
4906133,2.27x
4906134,1.02x
4906135,1x
4906136,53.72x
4906137,2.25x
4906138,2.52x
4906139,1.3x
4906140,1.03x
4906141,2.61x
4906142,1.02x
4906143,2.34x
4906144,1.02x
4906145,1.13x
4906146,4.51x
4906147,2.83x
4906148,16.19x
4906149,3.71x
4906150,1.19x
4906151,1.16x
4906152,1.74x
4906153,1.33x
4906154,3.24x
4906155,8.25x
4906156,1.18x
4906157,1.92x
4906158,2.13x
4906159,14.38x
4906160,2.37x
4906161,13.38x
4906162,2.03x
4906163,1.16x
4906164,1.22x
4906165,1.03x
4906166,2.1x
4906167,1.35x
4906168,10.6x
4906169,1.78x
4906170,4.33x
4906171,31.1x
4906172,3.37x
4906173,16.2x
4906174,1.29x
4906175,6.27x
4906176,1.58x
4906177,4.84x
4906178,1.14x
4906179,1.15x
4906180,1.8x
4906181,1.88x
4906182,1x
4906183,1.29x
4906184,1.76x
4906185,2.8x
4906186,2.23x
4906187,2.51x
4906188,9.58x
4906189,1.03x
4906190,1.18x
4906191,1.04x
4906192,3.69x
4906193,1.83x
4906194,7.23x
4906195,1x
4906196,2.15x
4906197,1.26x
4906198,1.02x
4906199,1.11x
4906200,1.85x
4906201,2.92x
4906202,4.25x
4906203,1.84x
4906204,1.01x
4906205,4.64x
4906206,2.99x
4906207,1.2x
4906208,1.63x
4906209,1.18x
4906210,4.91x
4906211,1.16x
4906212,1.27x
4906213,5.09x
4906214,2.71x
4906215,1.64x
4906216,1.15x
4906217,2.99x
4906218,1.64x
4906219,2.61x
4906220,4.45x
4906221,8.15x
4906222,3.38x
4906223,4.33x
4906224,4.87x
4906225,1.9x
4906226,88.51x
4906227,2.3x
4906228,1.02x
4906229,10.15x
4906230,10.01x
4906231,2.43x
4906232,5.15x
4906233,122.1x
4906234,3.41x
4906235,1.36x
4906236,21.88x
4906237,2.82x
4906238,2.96x
4906239,1.03x
4906240,1.9x
4906241,4.8x
4906242,6.62x
4906243,1.55x
4906244,1.51x
4906245,1.17x
4906246,4.66x
4906247,6.42x
4906248,1.43x
4906249,1.05x
4906250,102.13x
4906251,3.07x
4906252,1.15x
4906253,1.05x
4906254,1.21x
4906255,1.22x
4906256,1.73x
4906257,2.51x
4906258,2.43x
4906259,1.16x
4906260,3.7x
4906261,2.91x
4906262,1.57x
4906263,1.77x
4906264,1.95x
4906265,1.44x
4906266,1.82x
4906267,11.42x
4906268,1x
4906269,1.14x
4906270,2.96x
4906271,2.49x
4906272,2.17x
4906273,2.44x
4906274,4.72x
4906275,13.59x
4906276,2.7x
4906277,1.29x
4906278,4.21x
4906279,6.39x
4906280,1.35x
4906281,1.34x
4906282,10.75x
4906283,14.26x
4906284,1.76x
4906285,3.64x
4906286,92.79x
4906287,3.8x
4906288,1x
4906289,2.04x
4906290,2.63x
4906291,2.7x
4906292,1.41x
4906293,2.22x
4906294,4.34x
4906295,5.52x
4906296,2.28x
4906297,1x
4906298,2.3x
4906299,1.79x
4906300,1.15x
4906301,1.03x
4906302,1.09x
4906303,2.84x
4906304,2.52x
4906305,1x
4906306,1.03x
4906307,4.94x
4906308,1.48x
4906309,1.31x
4906310,2.22x
4906311,1.75x
4906312,1.59x
4906313,4.61x
4906314,1.58x
4906315,1.52x
4906316,7.95x
4906317,3.57x
4906318,2.57x
4906319,3.12x
4906320,1.18x
4906321,2.76x
4906322,2.97x
4906323,1.35x
4906324,1.14x
4906325,1.28x
4906326,1.42x
4906327,5.73x
4906328,1.15x
4906329,9.19x
4906330,1.66x
4906331,1.11x
4906332,3x
4906333,2.97x
4906334,1.49x
4906335,5.93x
4906336,3.97x
4906337,1.14x
4906338,3.7x
